experiment,scenario,family,algorithm,parameter_name,parameter_value,seed,horizon,final_regret,final_reward,final_optimal_arm_rate
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42031,10000,151.49999999999997,1338.0,0.7984
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42031,10000,468.31999999999994,1027.0,0.2263
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42031,10000,459.3599999999999,1038.0,0.2422
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42031,10000,403.92999999999995,1090.0,0.2987
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42031,10000,360.3399999999999,1120.0,0.3616
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42031,10000,356.72,1131.0,0.3703
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42031,10000,259.54999999999995,1221.0,0.5008
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42031,10000,195.92999999999998,1285.0,0.6415
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42031,10000,164.45,1306.0,0.678
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42032,10000,385.03999999999996,1118.0,0.1997
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42032,10000,467.87999999999994,1027.0,0.2296
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42032,10000,450.9599999999999,1069.0,0.245
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42032,10000,400.89,1100.0,0.3033
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42032,10000,347.55999999999995,1147.0,0.3553
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42032,10000,360.5,1125.0,0.3476
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42032,10000,285.90999999999997,1182.0,0.4422
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42032,10000,255.19,1221.0,0.4651
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42032,10000,264.24,1208.0,0.4562
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42033,10000,456.8999999999999,1020.0,0.4585
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42033,10000,466.28999999999996,1022.0,0.2344
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42033,10000,461.07,1007.0,0.2347
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42033,10000,412.53,1074.0,0.2919
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42033,10000,342.62,1151.0,0.3852
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42033,10000,372.79999999999995,1091.0,0.3458
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42033,10000,274.81999999999994,1204.0,0.4781
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42033,10000,242.49999999999997,1229.0,0.5269
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42033,10000,173.84999999999997,1305.0,0.7106
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42034,10000,282.84,1238.0,0.5698
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42034,10000,472.68999999999994,1029.0,0.2242
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42034,10000,457.3299999999999,1036.0,0.2408
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42034,10000,421.12999999999994,1054.0,0.27
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42034,10000,352.87,1153.0,0.3542
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42034,10000,354.09000000000003,1166.0,0.3715
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42034,10000,267.28999999999996,1252.0,0.481
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42034,10000,227.21999999999997,1296.0,0.5795
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42034,10000,189.10999999999999,1343.0,0.6412
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42035,10000,209.17999999999998,1296.0,0.7386
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42035,10000,468.8299999999999,1017.0,0.2317
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42035,10000,453.34,1025.0,0.2367
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42035,10000,402.79999999999995,1079.0,0.3031
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42035,10000,361.06999999999994,1118.0,0.3326
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42035,10000,364.98,1143.0,0.3452
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42035,10000,261.71999999999997,1245.0,0.5004
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42035,10000,223.2,1262.0,0.579
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42035,10000,150.27999999999997,1359.0,0.6883
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42036,10000,432.48,1036.0,0.3965
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42036,10000,468.80999999999995,1005.0,0.2249
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42036,10000,460.06999999999994,1018.0,0.2373
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42036,10000,408.67999999999995,1071.0,0.2706
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42036,10000,356.68,1121.0,0.3585
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42036,10000,344.61999999999995,1158.0,0.3639
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42036,10000,269.9,1210.0,0.4648
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42036,10000,174.92999999999995,1293.0,0.6783
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42036,10000,214.09999999999997,1263.0,0.593
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42037,10000,460.0599999999999,1050.0,0.4601
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42037,10000,466.80999999999995,999.0,0.2253
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42037,10000,460.72999999999996,1029.0,0.2301
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42037,10000,393.68999999999994,1104.0,0.3169
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42037,10000,324.65999999999997,1166.0,0.4158
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42037,10000,362.91999999999996,1119.0,0.3449
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42037,10000,279.03,1205.0,0.4698
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42037,10000,233.31,1262.0,0.5145
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42037,10000,143.31999999999996,1348.0,0.7678
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42038,10000,376.97999999999996,1071.0,0.5032
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42038,10000,463.52,1015.0,0.2319
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42038,10000,456.93999999999994,996.0,0.2373
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42038,10000,415.68999999999994,1056.0,0.2674
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42038,10000,341.40999999999997,1111.0,0.3694
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42038,10000,351.66999999999996,1117.0,0.3571
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42038,10000,261.57,1192.0,0.5105
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42038,10000,204.10999999999999,1262.0,0.5873
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42038,10000,153.83999999999997,1314.0,0.7306
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42039,10000,421.84999999999997,1074.0,0.4442
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42039,10000,470.8499999999999,1035.0,0.2237
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42039,10000,452.69999999999993,1047.0,0.2388
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42039,10000,413.06999999999994,1070.0,0.2748
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42039,10000,349.59999999999997,1146.0,0.3575
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42039,10000,365.90999999999997,1130.0,0.3374
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42039,10000,277.95000000000005,1206.0,0.4827
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42039,10000,230.64999999999998,1274.0,0.5573
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42039,10000,158.29999999999998,1348.0,0.6749
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42040,10000,417.30999999999995,1092.0,0.4531
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42040,10000,461.54999999999995,1092.0,0.2413
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42040,10000,450.45,1074.0,0.2482
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42040,10000,387.35999999999996,1162.0,0.3238
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42040,10000,365.0799999999999,1172.0,0.3768
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42040,10000,341.5,1198.0,0.3686
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42040,10000,260.15,1287.0,0.4739
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42040,10000,200.21999999999997,1356.0,0.569
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42040,10000,185.44,1351.0,0.6271
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42041,10000,199.14,1230.0,0.7628
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42041,10000,472.52,965.0,0.222
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42041,10000,455.68999999999994,982.0,0.2416
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42041,10000,412.27,1031.0,0.2906
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42041,10000,360.34,1050.0,0.3655
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42041,10000,354.65999999999997,1061.0,0.365
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42041,10000,302.85999999999996,1113.0,0.4276
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42041,10000,218.39999999999998,1197.0,0.6084
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42041,10000,158.78,1269.0,0.6873
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42042,10000,470.03,994.0,0.2994
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42042,10000,464.16999999999996,1037.0,0.2312
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42042,10000,459.01,1042.0,0.2427
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42042,10000,387.89,1094.0,0.3217
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42042,10000,340.69,1171.0,0.3914
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42042,10000,369.46,1117.0,0.3505
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42042,10000,303.43,1161.0,0.412
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42042,10000,226.32,1251.0,0.5437
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42042,10000,223.29,1257.0,0.595
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42043,10000,445.65999999999997,1076.0,0.4346
