algorithm,block,arm,freq
D-UCB,1500,1,0.18626666666666666
D-UCB,1500,2,0.20106666666666667
D-UCB,1500,3,0.21013333333333334
D-UCB,1500,4,0.22913333333333333
D-UCB,2000,0,0.1736
D-UCB,2000,1,0.18993333333333334
D-UCB,2000,2,0.19793333333333332
D-UCB,2000,3,0.2084
D-UCB,2000,4,0.23013333333333333
D-UCB,2500,0,0.16993333333333333
D-UCB,2500,1,0.18946666666666667
D-UCB,2500,2,0.20006666666666667
D-UCB,2500,3,0.20746666666666666
D-UCB,2500,4,0.23306666666666667
D-UCB,3000,0,0.17306666666666667
D-UCB,3000,1,0.18993333333333334
D-UCB,3000,2,0.19640000000000002
D-UCB,3000,3,0.20773333333333335
D-UCB,3000,4,0.23286666666666667
D-UCB,3500,0,0.17626666666666668
D-UCB,3500,1,0.19213333333333335
D-UCB,3500,2,0.19766666666666666
D-UCB,3500,3,0.2038
D-UCB,3500,4,0.23013333333333333
D-UCB,4000,0,0.17386666666666667
D-UCB,4000,1,0.1856
D-UCB,4000,2,0.20113333333333333
D-UCB,4000,3,0.2111333333333333
D-UCB,4000,4,0.22826666666666667
D-UCB,4500,0,0.17066666666666666
D-UCB,4500,1,0.18813333333333335
D-UCB,4500,2,0.19519999999999998
D-UCB,4500,3,0.20993333333333333
D-UCB,4500,4,0.23606666666666667
D-UCB,5000,0,0.22219999999999998
D-UCB,5000,1,0.21333333333333335
D-UCB,5000,2,0.20153333333333334
D-UCB,5000,3,0.18993333333333334
D-UCB,5000,4,0.17300000000000001
D-UCB,5500,0,0.22706666666666667
D-UCB,5500,1,0.211
D-UCB,5500,2,0.20133333333333334
D-UCB,5500,3,0.18339999999999998
D-UCB,5500,4,0.1772
D-UCB,6000,0,0.22893333333333332
D-UCB,6000,1,0.21166666666666664
D-UCB,6000,2,0.2022
D-UCB,6000,3,0.18533333333333332
D-UCB,6000,4,0.17186666666666667
D-UCB,6500,0,0.23093333333333332
D-UCB,6500,1,0.2048
D-UCB,6500,2,0.19873333333333332
D-UCB,6500,3,0.19013333333333332
D-UCB,6500,4,0.17539999999999997
D-UCB,7000,0,0.23406666666666667
D-UCB,7000,1,0.2102
D-UCB,7000,2,0.196
D-UCB,7000,3,0.18639999999999998
D-UCB,7000,4,0.17333333333333334
D-UCB,7500,0,0.23286666666666667
D-UCB,7500,1,0.20533333333333334
D-UCB,7500,2,0.19686666666666666
D-UCB,7500,3,0.19006666666666666
D-UCB,7500,4,0.17486666666666664
D-UCB,8000,0,0.22873333333333334
D-UCB,8000,1,0.21059999999999998
D-UCB,8000,2,0.1993333333333333
D-UCB,8000,3,0.18926666666666667
D-UCB,8000,4,0.17206666666666667
D-UCB,8500,0,0.2306
D-UCB,8500,1,0.21173333333333336
D-UCB,8500,2,0.19313333333333332
D-UCB,8500,3,0.18666666666666665
D-UCB,8500,4,0.17786666666666667
D-UCB,9000,0,0.22453333333333333
D-UCB,9000,1,0.2112
D-UCB,9000,2,0.1994
D-UCB,9000,3,0.19026666666666667
D-UCB,9000,4,0.17459999999999998
D-UCB,9500,0,0.22840000000000002
D-UCB,9500,1,0.20980000000000001
D-UCB,9500,2,0.1992
D-UCB,9500,3,0.18966666666666665
