experiment,scenario,family,algorithm,parameter_name,parameter_value,horizon,n_runs,mean_final_regret,std_final_regret,mean_final_reward,mean_final_optimal_arm_rate,sem_final_regret
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,10000,30,187.67166666666665,32.74305233842413,1309.5666666666666,0.6475466666666667,5.978036122442391
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,10000,30,219.03966666666665,26.69756678611088,1276.0666666666666,0.5759933333333334,4.87428651975121
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,10000,30,273.50899999999996,18.394913343001967,1219.8666666666666,0.4778266666666667,3.3584363271049806
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,10000,30,347.1456666666666,86.15154549350544,1145.9333333333334,0.5253533333333333,15.72904827690849
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,10000,30,350.577,14.635393129976569,1146.4333333333334,0.36593333333333333,2.6720449850814347
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,10000,30,357.24199999999996,10.626703644349341,1139.2333333333333,0.35375333333333336,1.9401617659774968
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,10000,30,402.6433333333333,10.674589011981338,1093.4,0.29641666666666666,1.9489043979863208
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,10000,30,454.21466666666663,5.102192046381727,1041.1666666666667,0.24253666666666665,0.931528558842239
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,10000,30,467.8546666666667,3.282298115580028,1031.0,0.22911333333333334,0.5992629061199601
